rho,method,repetitions,clean_target,estimate_mean,estimate_lower_95,estimate_upper_95,absolute_error_mean,bias_mean,bias_lower_95,bias_upper_95,external_flip_mean,generator_limited_count,naive_minus_oracle_skip_mean,naive_minus_oracle_skip_lower_95,naive_minus_oracle_skip_upper_95
0.2,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,1.8,9,-0.17750135869565214,-0.24728260869565216,-0.12228260869565216
0.2,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,1.8,9,-0.17750135869565214,-0.24728260869565216,-0.12228260869565216
0.3,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,2.6999999999999997,9,-0.2046263586956522,-0.27853260869565216,-0.12228260869565216
0.3,NAIVE,1000,0.42857142857142855,0.23015625,0.15625,0.3125,0.19841517857142849,-0.19841517857142849,-0.27232142857142855,-0.11607142857142855,2.6999999999999997,9,-0.2046263586956522,-0.27853260869565216,-0.12228260869565216
0.3,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,2.6999999999999997,9,-0.2046263586956522,-0.27853260869565216,-0.12228260869565216
0.3,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,2.6999999999999997,9,-0.2046263586956522,-0.27853260869565216,-0.12228260869565216
0.4,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,3.6,9,-0.2336888586956522,-0.30978260869565216,-0.15353260869565216
0.4,NAIVE,1000,0.42857142857142855,0.20109375,0.125,0.28125,0.2274776785714285,-0.2274776785714285,-0.30357142857142855,-0.14732142857142855,3.6,9,-0.2336888586956522,-0.30978260869565216,-0.15353260869565216
0.4,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,3.6,9,-0.2336888586956522,-0.30978260869565216,-0.15353260869565216
0.4,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,3.6,9,-0.2336888586956522,-0.30978260869565216,-0.15353260869565216
0.5,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,4.5,9,-0.2625951086956522,-0.34103260869565216,-0.15353260869565216
0.5,NAIVE,1000,0.42857142857142855,0.1721875,0.09375,0.28125,0.25638392857142844,-0.25638392857142844,-0.33482142857142855,-0.14732142857142855,4.5,9,-0.2625951086956522,-0.34103260869565216,-0.15353260869565216
0.5,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,4.5,9,-0.2625951086956522,-0.34103260869565216,-0.15353260869565216
0.5,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,4.5,9,-0.2625951086956522,-0.34103260869565216,-0.15353260869565216
