rho,method,repetitions,clean_target,estimate_mean,estimate_lower_95,estimate_upper_95,absolute_error_mean,bias_mean,bias_lower_95,bias_upper_95,external_flip_mean,generator_limited_count,naive_minus_oracle_skip_mean,naive_minus_oracle_skip_lower_95,naive_minus_oracle_skip_upper_95
0.2,NAIVE,1000,0.5333333333333333,0.2210806451612903,0.16129032258064516,0.25806451612903225,0.312252688172043,-0.312252688172043,-0.3720430107526882,-0.2752688172043011,3.2,30,-0.3101693548387096,-0.36995967741935487,-0.27318548387096775
0.2,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,3.2,30,-0.3101693548387096,-0.36995967741935487,-0.27318548387096775
0.2,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,3.2,30,-0.3101693548387096,-0.36995967741935487,-0.27318548387096775
0.3,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,4.8,30,-0.3344112903225806,-0.4022177419354839,-0.27318548387096775
0.3,NAIVE,1000,0.5333333333333333,0.19683870967741932,0.12903225806451613,0.25806451612903225,0.336494623655914,-0.336494623655914,-0.4043010752688172,-0.2752688172043011,4.8,30,-0.3344112903225806,-0.4022177419354839,-0.27318548387096775
0.3,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,4.8,30,-0.3344112903225806,-0.4022177419354839,-0.27318548387096775
0.3,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,4.8,30,-0.3344112903225806,-0.4022177419354839,-0.27318548387096775
0.4,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,6.4,30,-0.35995967741935486,-0.4183467741935484,-0.30544354838709675
0.4,NAIVE,1000,0.5333333333333333,0.17129032258064514,0.11290322580645161,0.22580645161290322,0.36204301075268813,-0.36204301075268813,-0.4204301075268817,-0.3075268817204301,6.4,30,-0.35995967741935486,-0.4183467741935484,-0.30544354838709675
0.4,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,6.4,30,-0.35995967741935486,-0.4183467741935484,-0.30544354838709675
0.4,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,6.4,30,-0.35995967741935486,-0.4183467741935484,-0.30544354838709675
0.5,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,8.0,30,-0.3868145161290323,-0.45060483870967744,-0.32157258064516125
0.5,NAIVE,1000,0.5333333333333333,0.14443548387096775,0.08064516129032258,0.20967741935483872,0.38889784946236555,-0.38889784946236555,-0.45268817204301076,-0.3236559139784946,8.0,30,-0.3868145161290323,-0.45060483870967744,-0.32157258064516125
